Sample	Farm_Num	Sample_group	Farm_type	Sample_type	Company	TotalReads
C2F1L	FN1	C2F1L	Pullet	Litter	A	78823314
C2F1S	FN1	C2F1S	Pullet	Soil	A	89536814
C2F4F1	FN2	C2F4F	Pullet	Fecal	A	41022956
C2F4F2	FN2	C2F4F	Pullet	Fecal	A	37557920
C2F4F3	FN2	C2F4F	Pullet	Fecal	A	49042293
C2F4L1	FN2	C2F4L	Pullet	Litter	A	48994993
C2F4L2	FN2	C2F4L	Pullet	Litter	A	53297079
C2F4L3	FN2	C2F4L	Pullet	Litter	A	40989190
C2F4S1	FN2	C2F4S	Pullet	Soil	A	37288480
C2F4S2	FN2	C2F4S	Pullet	Soil	A	49869876
C2F4S3	FN2	C2F4S	Pullet	Soil	A	40941596
C3F10L	FN3	C3F10L	Breeder	Litter	A	144065103
C3F10S	FN3	C3F10S	Breeder	Soil	A	80658909
C3F14L	FN4	C3F14L	Breeder	Litter	A	103058640
C3F14S	FN4	C3F14S	Breeder	Soil	A	145352122
C4F17F1	FN5	C4F17F	Breeder	Fecal	A	29952034
C4F17F2	FN5	C4F17F	Breeder	Fecal	A	23254266
C4F17F3	FN5	C4F17F	Breeder	Fecal	A	24779334
C4F17L1	FN5	C4F17L	Breeder	Litter	A	38175942
C4F17L2	FN5	C4F17L	Breeder	Litter	A	34480617
C4F17L3	FN5	C4F17L	Breeder	Litter	A	37114780
C4F17S1	FN5	C4F17S	Breeder	Soil	A	33069065
C4F17S2	FN5	C4F17S	Breeder	Soil	A	38514211
C4F17S3	FN5	C4F17S	Breeder	Soil	A	45807359
C4F8L	FN6	C4F8L	Breeder	Litter	A	199286036
C4F8S	FN6	C4F8S	Breeder	Soil	A	154575322
C6F35L	FN7	C6F35L	Broiler	Litter	A	111132855
C6F35S	FN7	C6F35S	Broiler	Soil	A	162311647
C6F37L	FN8	C6F37L	Broiler	Litter	A	80326418
C6F37S	FN8	C6F37S	Broiler	Soil	A	122346380
C6F60L	FN9	C6F60L	Broiler	Litter	A	168284624
C6F60S	FN9	C6F60S	Broiler	Soil	A	52399580
C7F14L	FN10	C7F14L	Broiler	Litter	A	121058992
C7F14S	FN10	C7F14S	Broiler	Soil	A	123612642
C7F22L	FN11	C7F22L	Broiler	Litter	A	113751816
C7F22S	FN11	C7F22S	Broiler	Soil	A	160557093
C7F81L	FN12	C7F81L	Broiler	Litter	A	168742545
C7F81S	FN12	C7F81S	Broiler	Soil	A	34932807
C8F40F1	FN13	C8F40F	Broiler	Fecal	A	28819691
C8F40F2	FN13	C8F40F	Broiler	Fecal	A	25708322
C8F40F3	FN13	C8F40F	Broiler	Fecal	A	28248469
C8F40L1	FN13	C8F40L	Broiler	Litter	A	32271884
C8F40L2	FN13	C8F40L	Broiler	Litter	A	33113040
C8F40L3	FN13	C8F40L	Broiler	Litter	A	33755052
C8F40S1	FN13	C8F40S	Broiler	Soil	A	44339553
C8F40S2	FN13	C8F40S	Broiler	Soil	A	35036511
C8F40S3	FN13	C8F40S	Broiler	Soil	A	35347268
C4F8PC	FN13	C4F8PC	Processing_plant	Post_chill	A	70438646
C4F8PP	FN13	C4F8PP	Processing_plant	Post_pick	A	52197909
C12FCHL	FN21	C12FCHL	Pullet	Litter	B	186304083
C12FCHS	FN21	C12FCHS	Pullet	Soil	B	97846339
C13FJBL	FN22	C13FJBL	Pullet	Litter	B	116960186
C13FJBS	FN22	C13FJBS	Pullet	Soil	B	141278516
C14FJOS	FN23	C14FXOS	Breeder	Soil	B	54285875
C14FJOL	FN23	C14FXOL	Breeder	Litter	B	145128044
C15FNSL	FN24	C15FNSL	Breeder	Litter	B	129453133
C15FNSS	FN24	C15FNSS	Breeder	Soil	B	133985880
C15FTCL	FN25	C15FTCL	Breeder	Litter	B	132910803
C15FTCS	FN25	C15FTCS	Breeder	Soil	B	124891035
C16FHWL	FN26	C16FHWL	Breeder	Litter	B	232064505
C16FHWS	FN26	C16FHWS	Breeder	Soil	B	200525185
C17FHEL	FN27	C17FHEL	Broiler	Litter	B	112337731
C17FHES	FN27	C17FHES	Broiler	Soil	B	206772646
C18FCLL	FN28	C18FCLL	Broiler	Litter	B	104230141
C18FCLS	FN29	C18FCLS	Broiler	Soil	B	100649918
C18FHHL	FN30	C18FHHL	Broiler	Litter	B	136709854
C18FHHS	FN30	C18FHHS	Broiler	Soil	B	113062231
C18FTGL	FN31	C18FTGL	Broiler	Litter	B	105120393
C18FTGS	FN31	C18FTGS	Broiler	Soil	B	191267757
C19FTTL	FN32	C19FTTL	Broiler	Litter	B	93350133
C19FTTS	FN32	C19FTTS	Broiler	Soil	B	119107482
C20FJAL	FN33	C20FJAL	Broiler	Litter	B	138105321
C20FJAS	FN33	C20FJAS	Broiler	Soil	B	116248942
C20FPHL	FN34	C20FPHL	Broiler	Litter	B	67065942
C20PHS	FN34	C20PHS	Broiler	Soil	B	65362696
